price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
1050,3.0,1.0,True,False,81.0,flat,Eixample
3000,4.0,3.0,True,True,193.0,attic,Eixample
1150,1.0,1.0,True,True,45.0,flat,Ciutat Vella
3300,4.0,3.0,True,False,174.0,flat,Sarria-Sant Gervasi
1750,4.0,2.0,True,True,100.0,flat,Sant Martí
900,1.0,1.0,False,True,47.0,flat,Sants-Montjuïc
2200,3.0,2.0,True,False,110.0,flat,Eixample
2200,4.0,2.0,True,True,175.0,flat,Eixample
975,1.0,1.0,True,False,51.0,flat,Ciutat Vella
2200,3.0,2.0,True,False,112.0,flat,Eixample
1300,1.0,1.0,True,False,99.0,flat,Ciutat Vella
1200,1.0,1.0,False,False,60.0,flat,Ciutat Vella
2250,2.0,2.0,True,True,75.0,flat,Eixample
1975,5.0,3.0,True,False,140.0,flat,Sarria-Sant Gervasi
1250,2.0,2.0,False,False,82.0,flat,Ciutat Vella
1600,1.0,1.0,True,False,82.0,flat,Eixample
1750,3.0,2.0,True,False,130.0,flat,Gràcia
1949,1.0,1.0,True,True,58.0,flat,Gràcia
2000,2.0,2.0,True,True,115.0,apartment,Ciutat Vella
1385,2.0,1.0,False,False,55.0,flat,Sant Martí
1050,2.0,1.0,False,True,55.0,flat,Gràcia
2150,4.0,2.0,True,False,158.0,flat,Sant Martí
1200,2.0,1.0,True,True,61.0,apartment,Ciutat Vella
1360,2.0,1.0,True,False,55.0,flat,Sant Martí
800,1.0,1.0,True,False,52.0,flat,Ciutat Vella
1700,2.0,2.0,True,True,120.0,apartment,Ciutat Vella
2900,4.0,3.0,True,False,247.0,apartment,Sarria-Sant Gervasi
1300,2.0,1.0,True,False,60.0,apartment,Ciutat Vella
1700,2.0,1.0,True,True,95.0,apartment,Ciutat Vella
2000,3.0,2.0,True,False,92.0,flat,Sant Martí
1450,2.0,2.0,False,False,80.0,attic,Sarria-Sant Gervasi
550,1.0,1.0,False,False,38.0,flat,Horta- Guinardo
2400,3.0,3.0,True,False,148.0,flat,Sarria-Sant Gervasi
3200,4.0,3.0,True,True,155.0,attic,Sarria-Sant Gervasi
2900,4.0,2.0,True,True,150.0,flat,Sarria-Sant Gervasi
3000,3.0,2.0,True,True,165.0,flat,Sarria-Sant Gervasi
3000,3.0,2.0,True,False,160.0,flat,Sarria-Sant Gervasi
620,0.0,1.0,True,False,29.0,flat,Les Corts
920,3.0,1.0,True,False,76.0,flat,Sant Martí
895,1.0,1.0,True,False,55.0,flat,Eixample
750,3.0,1.0,True,False,67.0,flat,Sant Andreu
1050,3.0,1.0,True,False,75.0,flat,Sarria-Sant Gervasi
800,3.0,1.0,False,False,65.0,flat,Sant Martí
1000,3.0,1.0,True,False,80.0,flat,Eixample
1085,3.0,2.0,True,False,83.0,flat,Les Corts
850,3.0,1.0,True,False,58.0,flat,Sants-Montjuïc
995,1.0,1.0,True,False,50.0,flat,Sarria-Sant Gervasi
995,1.0,1.0,False,True,42.0,attic,Gràcia
1650,3.0,3.0,True,False,85.0,flat,Eixample
800,1.0,1.0,True,False,50.0,flat,Sarria-Sant Gervasi
3200,4.0,3.0,True,True,120.0,attic,Sarria-Sant Gervasi
2800,4.0,3.0,True,False,200.0,flat,Les Corts
2900,3.0,2.0,True,False,178.0,flat,Sarria-Sant Gervasi
1675,4.0,3.0,True,False,137.0,flat,Sarria-Sant Gervasi
1700,2.0,2.0,True,False,85.0,flat,Eixample
1900,4.0,2.0,True,True,148.0,flat,Les Corts
2580,3.0,2.0,True,False,154.0,flat,Eixample
2000,3.0,3.0,True,False,150.0,flat,Les Corts
1350,3.0,2.0,True,False,124.0,flat,Eixample
850,1.0,1.0,True,False,40.0,flat,Sarria-Sant Gervasi
1100,2.0,1.0,True,False,56.0,flat,Ciutat Vella
690,1.0,1.0,False,False,36.0,flat,Ciutat Vella
700,2.0,1.0,False,False,67.0,flat,Ciutat Vella
710,2.0,1.0,True,False,33.0,flat,Ciutat Vella
720,2.0,1.0,False,False,45.0,flat,Sants-Montjuïc
1130,3.0,2.0,True,False,89.0,flat,Eixample
1150,2.0,1.0,False,True,50.0,attic,Sarria-Sant Gervasi
1195,3.0,1.0,True,False,74.0,flat,Eixample
520,1.0,1.0,True,False,25.0,flat,Ciutat Vella
