price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
1100,2,1,True,False,56,flat,Ciutat Vella
690,1,1,False,False,36,flat,Ciutat Vella
700,2,1,False,False,67,flat,Ciutat Vella
710,2,1,True,False,33,flat,Ciutat Vella
720,2,1,False,False,45,flat,Sants-Montjuïc
1130,3,2,True,False,89,flat,Eixample
1150,2,1,False,True,50,attic,Sarria-Sant Gervasi
1195,3,1,True,False,74,flat,Eixample
520,1,1,True,False,25,flat,Ciutat Vella
840,2,1,True,False,55,flat,Sants-Montjuïc
760,2,1,False,False,67,flat,Sants-Montjuïc
1400,1,1,True,True,60,flat,Sant Martí
1150,2,2,True,False,83,flat,Sant Martí
1700,3,2,True,False,118,flat,Sant Martí
1360,2,1,True,False,55,flat,Sant Martí
1650,2,2,True,True,93,flat,Sant Martí
1175,3,1,True,True,61,flat,Sant Martí
1210,2,1,True,False,55,flat,Sant Martí
1150,2,2,True,False,60,flat,Sant Martí
2000,4,3,True,False,154,flat,Sant Martí
1500,3,2,True,False,104,attic,Sant Martí
1900,2,2,True,False,85,flat,Sant Martí
1800,1,1,True,True,60,attic,Sant Martí
2520,3,2,True,False,193,flat,Sant Martí
2400,3,2,True,True,120,flat,Sant Martí
1500,3,2,True,True,66,flat,Sant Martí
2600,3,2,True,True,121,flat,Sant Martí
1250,2,1,False,False,73,flat,Sant Martí
1800,2,1,True,False,89,apartment,Sant Martí
1500,2,1,True,True,70,flat,Sant Martí
1190,2,1,True,False,64,flat,Ciutat Vella
1050,2,1,True,False,45,apartment,Ciutat Vella
1220,2,1,True,False,75,flat,Les Corts
1540,4,2,True,False,120,flat,Les Corts
2700,4,3,True,True,190,flat,Les Corts
1800,4,3,True,False,124,flat,Les Corts
2975,5,2,True,True,232,flat,Les Corts
1900,0,3,True,True,145,flat,Les Corts
1600,2,2,True,False,70,flat,Les Corts
1700,2,1,True,True,90,flat,Les Corts
1300,2,1,True,True,55,apartment,Les Corts
2300,2,2,True,True,130,apartment,Les Corts
2600,3,2,True,True,177,flat,Les Corts
2450,3,2,True,False,150,flat,Les Corts
2500,2,3,True,True,150,apartment,Les Corts
1895,3,3,True,False,175,flat,Les Corts
2950,5,3,True,False,250,apartment,Les Corts
1300,2,1,True,True,76,flat,Les Corts
2000,4,3,True,True,130,flat,Les Corts
3000,5,3,True,True,233,apartment,Les Corts
1300,2,2,True,False,74,flat,Les Corts
2250,3,2,True,False,120,flat,Les Corts
2600,5,3,True,True,180,flat,Les Corts
2000,4,2,True,True,150,flat,Les Corts
3000,4,4,True,False,235,flat,Les Corts
2750,5,3,True,False,160,flat,Les Corts
1035,3,2,True,False,85,flat,Eixample
775,1,1,False,False,39,flat,Sant Martí
800,3,2,True,False,83,flat,Sants-Montjuïc
650,2,1,False,False,56,flat,Horta- Guinardo
825,1,1,False,False,50,flat,Gràcia
1600,0,1,True,False,60,flat,Eixample
890,1,1,True,False,55,flat,Eixample
900,3,1,True,False,75,flat,Sants-Montjuïc
2400,3,2,True,False,140,flat,Sarria-Sant Gervasi
1000,3,2,True,False,74,flat,Sants-Montjuïc
2500,3,3,True,False,140,flat,Sarria-Sant Gervasi
2700,3,2,True,False,85,flat,Sarria-Sant Gervasi
2000,2,1,True,False,65,flat,Sarria-Sant Gervasi
790,2,1,True,False,88,flat,Sant Andreu
1600,4,2,True,False,122,flat,Eixample
2500,2,2,True,True,116,flat,Sant Martí
1050,2,1,True,False,60,flat,Sarria-Sant Gervasi
990,2,1,True,True,81,flat,Gràcia
950,2,1,True,False,50,flat,Gràcia
1100,2,1,True,False,60,apartment,Sarria-Sant Gervasi
990,3,1,True,True,81,flat,Sants-Montjuïc
1300,2,1,True,True,91,attic,Eixample
1000,3,2,True,True,79,flat,Gràcia
1150,4,1,True,False,85,flat,Eixample
935,2,1,True,False,65,attic,Sants-Montjuïc
875,1,1,True,True,54,flat,Sarria-Sant Gervasi
2200,4,3,True,True,235,flat,Sarria-Sant Gervasi
850,0,1,False,False,60,flat,Ciutat Vella
1800,4,2,True,False,90,attic,Sant Martí
1500,2,1,True,False,75,flat,Eixample
3000,4,3,True,True,130,flat,Eixample
2200,3,2,True,True,123,flat,Eixample
1850,2,3,True,False,150,flat,Les Corts
2120,3,2,True,False,100,flat,Eixample
1500,2,1,True,False,50,flat,Eixample
1350,3,2,False,False,111,flat,Sarria-Sant Gervasi
1800,2,2,True,False,82,flat,Eixample
2000,3,2,True,False,110,flat,Sarria-Sant Gervasi
2500,2,1,True,False,70,flat,Ciutat Vella
1900,2,1,True,False,70,flat,Eixample
1950,2,2,True,True,91,flat,Ciutat Vella
1600,1,1,True,False,70,flat,Eixample
1300,1,1,False,False,55,flat,Sarria-Sant Gervasi
750,1,1,True,False,47,flat,Sarria-Sant Gervasi
1350,2,2,True,False,64,flat,Eixample
1463,4,2,True,False,120,flat,Ciutat Vella
2900,3,2,True,False,180,flat,Eixample
1350,3,1,True,True,146,flat,Eixample
1175,2,1,True,False,65,flat,Sarria-Sant Gervasi
1350,2,1,False,False,74,flat,Horta- Guinardo
1839,5,2,True,False,140,flat,Ciutat Vella
1125,2,1,True,False,70,flat,Sarria-Sant Gervasi
1200,2,1,True,False,40,flat,Horta- Guinardo
1950,5,2,True,False,140,flat,Sarria-Sant Gervasi
1700,2,1,True,True,90,flat,Sarria-Sant Gervasi
1550,2,2,True,True,85,flat,Ciutat Vella
980,1,1,True,False,40,flat,Horta- Guinardo
1800,2,2,True,True,80,flat,Eixample
2420,3,2,True,True,106,flat,Eixample
1300,2,2,True,False,65,flat,Eixample
1300,3,2,True,False,64,flat,Horta- Guinardo
1600,2,1,True,True,72,flat,Eixample
1300,3,1,True,False,64,flat,Horta- Guinardo
980,1,1,True,False,40,flat,Horta- Guinardo
1500,2,1,True,False,80,flat,Eixample
2000,4,2,True,False,150,flat,Eixample
1050,2,1,False,False,77,flat,Ciutat Vella
2700,4,4,True,True,156,flat,Les Corts
1600,3,2,True,False,129,flat,Sarria-Sant Gervasi
1117,2,1,True,True,55,flat,Eixample
1400,3,2,False,True,104,flat,Eixample
770,1,1,False,False,59,flat,Sants-Montjuïc
950,2,1,True,True,69,flat,Eixample
900,1,1,True,False,56,flat,Sant Martí
2800,2,2,True,True,96,flat,Sarria-Sant Gervasi
2300,5,2,True,True,150,flat,Eixample
2300,3,2,True,True,125,flat,Sant Martí
2200,2,2,True,False,102,flat,Eixample
1300,1,1,True,False,52,flat,Ciutat Vella
1100,2,1,True,False,60,flat,Sants-Montjuïc
900,2,1,False,False,66,flat,Eixample
2655,2,2,True,True,139,flat,Sarria-Sant Gervasi
2200,4,3,True,False,210,flat,Eixample
1250,2,2,True,False,86,flat,Ciutat Vella
1550,2,2,True,True,110,flat,Sarria-Sant Gervasi
1250,2,2,True,False,96,flat,Sarria-Sant Gervasi
765,1,1,False,True,39,flat,Ciutat Vella
950,2,1,False,False,65,flat,Eixample
1800,4,2,True,False,150,flat,Eixample
2900,4,2,True,True,153,flat,Sarria-Sant Gervasi
1600,3,2,True,False,66,flat,Sant Martí
1250,4,2,True,False,82,flat,Eixample
2934,3,2,True,True,117,flat,Eixample
2467,2,2,True,True,102,flat,Sarria-Sant Gervasi
950,2,1,True,False,64,flat,Sarria-Sant Gervasi
1000,3,1,True,False,75,flat,Sants-Montjuïc
900,2,1,False,False,65,flat,Eixample
1500,3,2,True,False,76,flat,Sant Martí
1100,2,1,False,False,60,flat,Les Corts
1500,2,1,True,True,56,flat,Eixample
900,1,1,True,False,45,flat,Ciutat Vella
1950,3,2,False,False,140,flat,Les Corts
2550,4,2,True,True,166,flat,Les Corts
1800,2,1,True,True,70,flat,Ciutat Vella
1400,2,1,True,False,77,flat,Eixample
2278,3,2,True,True,123,flat,Sarria-Sant Gervasi
1200,1,1,True,False,55,flat,Sarria-Sant Gervasi
990,2,1,True,False,74,flat,Eixample
1050,2,1,True,False,37,flat,Sarria-Sant Gervasi
2450,5,2,True,True,211,flat,Eixample
900,1,1,True,False,50,flat,Eixample
900,2,2,True,False,70,flat,Sants-Montjuïc
750,1,1,False,False,40,flat,Ciutat Vella
1390,2,1,True,False,78,flat,Sant Martí
900,2,1,False,False,50,flat,Eixample
1150,1,1,True,False,50,flat,Eixample
900,2,2,False,False,70,flat,Sants-Montjuïc
2300,4,2,True,True,128,flat,Sarria-Sant Gervasi
1400,4,2,False,False,93,flat,Les Corts
1090,2,2,True,False,89,flat,Sarria-Sant Gervasi
1260,2,1,False,False,47,flat,Sant Martí
1100,2,1,True,False,80,flat,Ciutat Vella
1100,1,1,True,False,65,flat,Eixample
1450,2,2,True,True,95,flat,Les Corts
1800,3,2,True,True,120,attic,Sarria-Sant Gervasi
2500,3,2,True,False,105,apartment,Eixample
2200,3,2,True,True,155,apartment,Sarria-Sant Gervasi
2000,3,2,True,False,150,apartment,Ciutat Vella
1300,1,1,True,False,45,apartment,Ciutat Vella
2070,3,2,True,False,92,flat,Sant Martí
695,2,1,False,False,70,flat,Nou Barris
850,3,1,True,False,77,flat,Horta- Guinardo
1100,4,2,True,False,110,flat,Eixample
