price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
1900,2,2,True,False,99,flat,0,0,0,0,0,0,0,0,0
1400,2,2,True,True,65,flat,0,0,0,0,0,0,0,0,0
800,2,1,False,False,50,flat,0,0,0,0,0,0,0,0,0
1500,2,1,True,True,62,apartment,0,0,0,0,0,0,0,0,0
900,2,1,True,False,60,flat,0,0,0,0,0,0,0,0,0
1050,1,1,False,False,80,flat,0,0,0,0,0,0,0,0,0
1250,2,2,True,True,67,flat,0,0,0,0,0,0,0,0,0
1130,1,1,True,True,47,apartment,0,0,0,0,0,0,0,0,0
1000,2,3,True,False,70,apartment,0,0,0,0,0,0,0,0,0
1200,1,1,True,False,65,flat,0,0,0,0,0,0,0,0,0
1250,2,1,True,True,62,apartment,0,0,0,0,0,0,0,0,0
1100,1,1,True,False,110,flat,0,0,0,0,0,0,0,0,0
2300,4,3,True,False,147,apartment,0,0,0,0,0,0,0,0,0
1350,2,2,False,False,60,flat,0,0,0,0,0,0,0,0,0
1200,2,2,False,False,70,flat,0,0,0,0,0,0,0,0,0
2500,2,2,True,False,122,apartment,0,0,0,0,0,0,0,0,0
2700,4,2,True,True,162,apartment,0,0,0,0,0,0,0,0,0
1400,3,1,True,False,80,flat,0,0,0,0,0,0,0,0,0
1500,2,2,True,True,98,flat,0,0,0,0,0,0,0,0,0
1350,1,1,False,True,35,flat,0,0,0,0,0,0,0,0,0
1250,2,1,False,False,65,flat,0,0,0,0,0,0,0,0,0
1100,2,2,True,False,75,apartment,0,0,0,0,0,0,0,0,0
1000,1,1,True,True,40,flat,0,0,0,0,0,0,0,0,0
1250,2,2,True,False,46,flat,0,0,0,0,0,0,0,0,0
1000,2,2,True,False,66,apartment,0,0,0,0,0,0,0,0,0
1200,4,2,True,False,130,flat,0,0,0,0,0,0,0,0,0
